Et_1A_005362.mRNA1,,evm.model.Smar02g00008,,evm.model.Smar01g00005
Et_1A_004814.mRNA1,,.,,.
Et_1A_005363.mRNA1,,evm.model.Smar02g00009,,evm.model.Smar01g00006
Et_1A_005358.mRNA1,,.,,.
Et_1A_005359.mRNA1,,.,,.
Et_1A_005364.mRNA1,,.,,.
Et_1A_005360.mRNA1,,.,,.
Et_1A_008696.mRNA1,,evm.model.Smar02g00010,,evm.model.Smar01g00007
Et_1A_008693.mRNA1,,evm.model.Smar02g00011,,.
Et_1A_005365.mRNA1,,evm.model.Smar02g00015,,evm.model.Smar01g00011
Et_1A_005366.mRNA1,,.,,evm.model.Smar01g00012
Et_1A_005367.mRNA1,,evm.model.Smar02g00020,,evm.model.Smar01g00013
Et_1A_008694.mRNA1,,.,,.
Et_1A_005361.mRNA1,,evm.model.Smar02g00022,,evm.model.Smar01g00016
Et_1A_008695.mRNA1,,.,,evm.model.Smar01g00017
Et_1A_008697.mRNA1,,.,,evm.model.Smar01g00018
Et_1A_004815.mRNA1,,.,,.
Et_1A_005381.mRNA1,,.,,.
Et_1A_008698.mRNA1,,evm.model.Smar02g00024,,evm.model.Smar01g00021
Et_1A_005368.mRNA1,,evm.model.Smar02g00025,,.
Et_1A_005369.mRNA1,,.,,.
Et_1A_005382.mRNA1,,.,,.
Et_1A_005370.mRNA1,,.,,.
Et_1A_008702.mRNA1,,.,,.
Et_1A_005371.mRNA1,,evm.model.Smar02g00027,,evm.model.Smar01g00023
Et_1A_005372.mRNA1,,.,,evm.model.Smar01g00024
Et_1A_005383.mRNA1,,.,,.
Et_1A_005384.mRNA1,,.,,.
Et_1A_008699.mRNA1,,evm.model.Smar02g00029,,evm.model.Smar01g00025
Et_1A_005373.mRNA1,,.,,.
Et_1A_005374.mRNA1,,.,,.
Et_1A_005375.mRNA1,,.,,.
Et_1A_008700.mRNA1,,.,,.
Et_1A_005376.mRNA1,,evm.model.Smar02g00030,,.
Et_1A_008703.mRNA1,,.,,evm.model.Smar01g00026
Et_1A_005377.mRNA1,,evm.model.Smar02g00032,,evm.model.Smar01g00027
Et_1A_005378.mRNA1,,.,evm.model.Smar26g00013,.
Et_1A_008701.mRNA1,,evm.model.Smar02g00033,.,.
Et_1A_005379.mRNA1,,.,.,.
Et_1A_005380.mRNA1,,.,evm.model.Smar26g00014,.
Et_1A_005385.mRNA1,,.,.,.
Et_1A_006272.mRNA1,,.,.,.
Et_1A_006273.mRNA1,,.,.,.
Et_1A_006274.mRNA1,,.,evm.model.Smar26g00017,.
Et_1A_006279.mRNA1,,.,.,.
Et_1A_008936.mRNA1,,.,.,.
Et_1A_008937.mRNA1,,.,.,evm.model.Smar01g00031
Et_1A_006280.mRNA1,,evm.model.Smar02g00034,.,evm.model.Smar01g00032
Et_1A_008938.mRNA1,evm.model.Smar07g03847,.,evm.model.Smar26g00018,.
Et_1A_006275.mRNA1,evm.model.Smar07g03846,.,.,.
Et_1A_006276.mRNA1,evm.model.Smar07g03845,.,.,.
Et_1A_008939.mRNA1,.,.,.,.
Et_1A_006281.mRNA1,.,evm.model.Smar02g00036,evm.model.Smar26g00019,evm.model.Smar01g00033
Et_1A_006282.mRNA1,.,.,.,.
Et_1A_006283.mRNA1,.,.,.,.
Et_1A_006277.mRNA1,.,.,evm.model.Smar26g00021,.
Et_1A_006284.mRNA1,evm.model.Smar07g03843,.,evm.model.Smar26g00022,.
Et_1A_006286.mRNA1,evm.model.Smar07g03842,evm.model.Smar02g00037,.,evm.model.Smar01g00035
Et_1A_006285.mRNA1,.,.,.,.
Et_1A_006278.mRNA1,evm.model.Smar07g03841,.,.,.
Et_1A_006993.mRNA1,evm.model.Smar07g03840,evm.model.Smar02g00039,evm.model.Smar26g00023,.
Et_1A_009115.mRNA1,evm.model.Smar07g03839,.,evm.model.Smar26g00024,.
Et_1A_005156.mRNA1,.,.,.,.
Et_1A_006998.mRNA1,evm.model.Smar07g03838,.,evm.model.Smar26g00025,.
Et_1A_006994.mRNA1,evm.model.Smar07g03837,.,evm.model.Smar26g00026,.
Et_1A_006995.mRNA1,.,evm.model.Smar02g00040,.,evm.model.Smar01g00037
Et_1A_006999.mRNA1,.,.,.,.
Et_1A_006996.mRNA1,.,evm.model.Smar02g00042,.,evm.model.Smar01g00040
Et_1A_009120.mRNA1,.,evm.model.Smar02g00043,.,evm.model.Smar01g00041
Et_1A_006997.mRNA1,evm.model.Smar07g03836,evm.model.Smar02g00045,evm.model.Smar26g00028,.
Et_1A_007000.mRNA1,.,evm.model.Smar02g00046,.,.
Et_1A_009116.mRNA1,.,.,.,.
Et_1A_009117.mRNA1,evm.model.Smar07g03835,.,evm.model.Smar26g00029,.
Et_1A_009118.mRNA1,.,evm.model.Smar02g00048,.,.
Et_1A_007001.mRNA1,evm.model.Smar07g03833,evm.model.Smar02g00049,evm.model.Smar26g00031,.
Et_1A_009119.mRNA1,.,.,evm.model.Smar26g00032,.
Et_1A_004674.mRNA1,.,.,.,.
Et_1A_007002.mRNA1,.,.,.,.
Et_1A_007003.mRNA1,evm.model.Smar07g03830,.,evm.model.Smar26g00033,evm.model.Smar01g00048
Et_1A_007004.mRNA1,.,.,.,.
Et_1A_007005.mRNA1,.,.,.,evm.model.Smar01g00049
Et_1A_007990.mRNA1,.,evm.model.Smar02g00053,.,evm.model.Smar01g00050
Et_1A_007991.mRNA1,.,evm.model.Smar02g00054,.,evm.model.Smar01g00051
Et_1A_007992.mRNA1,.,.,.,.
Et_1A_007987.mRNA1,evm.model.Smar07g03828,.,.,.
Et_1A_009342.mRNA1,.,.,.,.
Et_1A_005313.mRNA1,.,.,.,.
